Lesson,Date,Done,Files,Homework
"6. Adjectives ending with -ed/-ing (Part%201%20e49b-8393/6%20Adjectives%20ending%20with%20-ed%20-ing%2042dbac5fde3d416894bb550ee67783e4.html) ","December 29, 2022",Done,,"1) Online practice 
https://test-english.com/grammar-points/b1/ed-ing-adjectives-adjectives-verbs/
https://test-english.com/grammar-points/b1/ed-ing-adjectives-adjectives-verbs/2/
https://test-english.com/grammar-points/b1/ed-ing-adjectives-adjectives-verbs/3/

2) Practice more https://www.essentialenglish.review/apps/english-grammar-in-use-with-answers/unit-98-adjectives-ending-in-ing-and-ed-boring-bored-etc/#97"
"6. Adjectives ending with -ed/-ing (Part%201%20e49b-8393/6%20Adjectives%20ending%20with%20-ed%20-ing%2042dbac5fde3d416894bb550ee67783e4.html) ","January 6, 2023",Done,,"1) Create 8 pairs of sentences with -ed and -ing adjectives:
I’m frightened of heights. Mountains can be frightening for me.

Be ready to discuss your sentences next time!"
"7. Phone language + Obligation and prohibition (Part%201%20e49b-8393/7%20Phone%20language%20+%20Obligation%20and%20prohibition%2078dda971bb024f2fbc0a1ee95bb80c53.html) ","January 10, 2023",Done,,"1) Imagine that your foreign friend came to Russia and they need to buy a sim-card. Be ready to tell them about how to buy it and how people in Russia usually use their phones (how ofthen we call each other, etc)"
"7. Phone language + Obligation and prohibition (Part%201%20e49b-8393/7%20Phone%20language%20+%20Obligation%20and%20prohibition%2078dda971bb024f2fbc0a1ee95bb80c53.html) ","January 17, 2023",Done,,"1) Online practice
https://test-english.com/grammar-points/b1/have-to-must-should/
https://test-english.com/grammar-points/b1/have-to-must-should/2/
https://test-english.com/grammar-points/b1/have-to-must-should/3/

2) https://www.essentialenglish.review/apps/english-grammar-in-use-with-answers/unit-31-have-to-and-must/#30

3) Imagine that you have your own company. Create 7 rules for it using different modals of obligation."
"8. Present and past habits and states (Part%201%20e49b-8393/8%20Present%20and%20past%20habits%20and%20states%207a1fb1f763644c5f89cb955279a9bf4e.html) ","January 31, 2023",Done,,"1) Online practice 
https://test-english.com/grammar-points/b1/usually-used-to-be-used-to-get-used-to/
https://test-english.com/grammar-points/b1/usually-used-to-be-used-to-get-used-to/2/
https://test-english.com/grammar-points/b1/usually-used-to-be-used-to-get-used-to/3/

2) English File Workbook 5B (Part%201%20e49b-8393/8%20Present%20and%20past%20habits%20and%20states/English%20File%20Workbook%205B%20ed1158cfd2784435b99367c0897522e9.html) "
"8. Present and past habits and states (Part%201%20e49b-8393/8%20Present%20and%20past%20habits%20and%20states%207a1fb1f763644c5f89cb955279a9bf4e.html) ","February 8, 2023",Done,,1) Choose one significant event/thing and write about your life with or without it (or before and after the event).
"9. Revision (Part%201%20e49b-8393/9%20Revision%20092912f4c8b949418a0f072ce20a7aed.html) ","March 15, 2023",Done,,"1) https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/intensifiers

2) Articles
https://learnenglish.britishcouncil.org/grammar/a1-a2-grammar/articles-1
https://learnenglish.britishcouncil.org/grammar/a1-a2-grammar/articles-2"
"10. Revision 2 (Part%201%20e49b-8393/10%20Revision%202%20955d8eecb5ad4f4395f31890bf8eb141.html) ","March 22, 2023",Done,,"1) Family
https://www.englisch-hilfen.de/en/exercises/family/paraphrasing.htm
https://www.englisch-hilfen.de/en/exercises/family/family_tree.htm


2) Modals of ability
https://elt.oup.com/student/englishfile/intplus3/grammar/file06/nef_int_grammar06_b03?cc=de&selLanguage=en
https://www.notion.so/7430790619554b65894d2406f306a65e?pvs=21"
"11. Revision 3 (Part%201%20e49b-8393/11%20Revision%203%20895521e6b672454aa4116f3c1c8d4cee.html) ","March 29, 2023",Done,,"1) https://learnenglish.britishcouncil.org/grammar/b1-b2-grammar/modals-permission-obligation

2) https://learnenglish.britishcouncil.org/grammar/english-grammar-reference/past-tense"
"1. Passive voice (Part%202%205870-11e3/1%20Passive%20voice%20253eefa823c345938e0162754afe58db.html) ","April 5, 2023",Done,,"1) Passive voice
https://test-english.com/grammar-points/b1/passive-verb-forms/
https://test-english.com/grammar-points/b1/passive-verb-forms/2/
https://test-english.com/grammar-points/b1/passive-verb-forms/3/
https://test-english.com/grammar-points/b1/passive-verb-forms/4/

2) Active or passive voice?
https://test-english.com/grammar-points/b1/active-passive-voice/
https://test-english.com/grammar-points/b1/active-passive-voice/2/
https://test-english.com/grammar-points/b1/active-passive-voice/3/
https://test-english.com/grammar-points/b1/active-passive-voice/4/"
"1. Passive voice (Part%202%205870-11e3/1%20Passive%20voice%20253eefa823c345938e0162754afe58db.html) ","April 19, 2023",Done,,1) Prepare a small talk about a thing/book/invention/film. Use different passive forms to present it to me
"2. Cinema (Part%202%205870-11e3/2%20Cinema%202044e5a8a8924aefbfe15b4fc5e0d912.html) ","April 26, 2023",Done,,1) Do the https://wordwall.net/resource/19139858/cinema-crossword
"2. Cinema (Part%202%205870-11e3/2%20Cinema%202044e5a8a8924aefbfe15b4fc5e0d912.html) ","May 10, 2023",Done,,1) Create your own film! You can use questions from our lesson (in ex. 8) or follow your own plan. Be ready to present your ideas to me next time!
"3. Extreme weather and natural disasters (Part%202%205870-11e3/3%20Extreme%20weather%20and%20natural%20disasters%2003c995a958394dfd8d28258c06cc3b79.html) ","May 17, 2023",Done,,"1) Revise the words in https://quizlet.com/_9slbiv?x=1qqt&i=172xyn

2) Watch https://en.islcollective.com/video-lessons/how-to-survive-tsunami and do the tasks"
"3. Extreme weather and natural disasters (Part%202%205870-11e3/3%20Extreme%20weather%20and%20natural%20disasters%2003c995a958394dfd8d28258c06cc3b79.html) ","May 31, 2023",Done,,1) Find some information about a famous natural disaster and be ready to tell me about it (for not more than 3 minutes). Try to use new words.
"4. Modals of deduction (Part%202%205870-11e3/4%20Modals%20of%20deduction%203912ba9c83d64ff18a33048d041a10b7.html) ","June 14, 2023",Done,,"1) Modals of deduction (exercises)
https://test-english.com/grammar-points/b1/modal-verbs-of-deduction/
https://test-english.com/grammar-points/b1/modal-verbs-of-deduction/2/
https://test-english.com/grammar-points/b1/modal-verbs-of-deduction/3/

2) Watch https://youtu.be/S83E4BZwe84 about mysterious photos that cannot be explained.

Choose one photo and try to explain what's happening in it using modals of deduction. Make 7-10 sentences. "
"4. Modals of deduction (Part%202%205870-11e3/4%20Modals%20of%20deduction%203912ba9c83d64ff18a33048d041a10b7.html) ","June 25, 2023",Done,,"1) https://www.perfect-english-grammar.com/modal-verbs-of-probability-exercise-2.html 

2) Watch https://en.islcollective.com/video-lessons/sherlock-meets-moriarty-modals-deduction and complete the tasks

3) If you feel like watching more, watch https://en.islcollective.com/video-lessons/moriarty-steals-crown-jewels-modal-verbs too"
"5. Body movements + Body (Part%202%205870-11e3/5%20Body%20movements%20+%20Body%20e9996915cc344d0eaacb70db03ec4c31.html) ","July 2, 2023",Done,,"1) Practice new words
https://wordwall.net/resource/27306719/body-actions-ef-f2f
https://wordwall.net/resource/20799174/the-body-crossword"
"5. Body movements + Body (Part%202%205870-11e3/5%20Body%20movements%20+%20Body%20e9996915cc344d0eaacb70db03ec4c31.html) ","July 5, 2023",Done,,1) Revise and learn https://www.essentialenglish.review/apps/english-vocabulary-in-use-pre-intermediate-and-intermediate/unit-9-the-body-and-movement/#8
"6. Describing appearance (Part%202%205870-11e3/6%20Describing%20appearance%207103e71b311448a19c2a338c1dba9639.html) ","July 26, 2023",Done,,"1) Face2Face Workbook 10B (Part%202%205870-11e3/6%20Describing%20appearance/Face2Face%20Workbook%2010B%2011f33b5455c842d69273640f6564f60c.html) 

2) Learn some https://www.essentialenglish.review/apps/english-vocabulary-in-use-pre-intermediate-and-intermediate/unit-10-describing-appearance/#9 on appearance"
"6. Describing appearance (Part%202%205870-11e3/6%20Describing%20appearance%207103e71b311448a19c2a338c1dba9639.html) ","August 2, 2023",Done,,1) Choose a person (someone you know) and write a description of their appearance using new words.
"7. Revision (Part%202%205870-11e3/7%20Revision%208e20eb2798194fe28d8cdf7fc4d019b2.html) ","August 9, 2023",Done,,"1) Passive voice
https://elt.oup.com/student/englishfile/intermediate3/grammar/file06/nef_int_grammar06_a01?cc=ru&selLanguage=ru
https://elt.oup.com/student/englishfile/intermediate3/grammar/file06/nef_int_grammar06_a02?cc=ru&selLanguage=ru

2) https://wordwall.net/resource/58621204/natural-disasters"
"7. Revision (Part%202%205870-11e3/7%20Revision%208e20eb2798194fe28d8cdf7fc4d019b2.html) ","August 16, 2023",Done,,"1) Modas of deduction
https://elt.oup.com/student/englishfile/intermediate3/grammar/file06/nef_int_grammar06_b03?cc=ru&selLanguage=ru
https://elt.oup.com/student/englishfile/intermediate3/grammar/file06/nef_int_grammar06_b04?cc=ru&selLanguage=ru

2) The body
https://elt.oup.com/student/englishfile/intermediate3/vocabulary/the-body?cc=ru&selLanguage=ru

3) Revise all the vocabulary and grammar rules in Notion"
,"August 23, 2023",Done,,1) Do the https://docs.google.com/forms/d/e/1FAIpQLSd072_9VcFCn4ggfco0hId-SY2ttfocKLJvHUyhcj68LQZwnA/viewform?usp=sf_link
"1. Education (Part%203/1%20Education%201adef70c75bf41999e0004b79f51e520.html) ","September 12, 2023",Done,,"1) English File Workbook 7A (Part%203/1%20Education/English%20File%20Workbook%207A%2067bde051818941a39408c6a111bd7596.html) "
"1. Education (Part%203/1%20Education%201adef70c75bf41999e0004b79f51e520.html) ","September 13, 2023",Done,,1) Imagine that you have to describe Russian educational system to a person from Great Britain. Prepare your talk using new words from the lesson.
"2. Education (Part 2) (Part%203/2%20Education%20(Part%202)%20f6a31ec6f3224216a03f7c61caa3633d.html) ","October 18, 2023",Done,,"1) Do ex. 3B, 4A and 4B from Part%203/2%20Education%20(Part%202)%20f6a31ec6f3224216a03f7c61caa3633d.html. Be ready to check it together at the lesson."
"2. Education (Part 2) (Part%203/2%20Education%20(Part%202)%20f6a31ec6f3224216a03f7c61caa3633d.html) ","October 25, 2023",Done,,1) Write a review on a course that you have taken using new collocation from the lesson.
"3. First Conditional and future time clauses (Part%203/3%20First%20Conditional%20and%20future%20time%20clauses%2029699a5c6af44ccea3a413d2df25142c.html) ","November 1, 2023 → November 8, 2023",Done,,"1)  English File Workbook 7A GRAMMAR (Part%203/3%20First%20Conditional%20and%20future%20time%20clauses/English%20File%20Workbook%207A%20GRAMMAR%20f47d5b5180924f679e392c9a4e1f00ea.html) 
Write down your answers to ex. d and be ready to share it with me next time. 

2) Online practice
https://test-english.com/grammar-points/b1/first-conditional-future-time-clauses/
https://test-english.com/grammar-points/b1/first-conditional-future-time-clauses/2/
https://test-english.com/grammar-points/b1/first-conditional-future-time-clauses/3/"
"4. Second Conditional (Part%203/4%20Second%20Conditional%203bbbbcedfab8476b99166fb9425f6694.html) ","November 15, 2023",Done,,"1) Online practice (Second Conditional)
https://test-english.com/grammar-points/b1/second-conditional-unreal-situations/
https://test-english.com/grammar-points/b1/second-conditional-unreal-situations/2/
https://test-english.com/grammar-points/b1/second-conditional-unreal-situations/3/"
"4. Second Conditional (Part%203/4%20Second%20Conditional%203bbbbcedfab8476b99166fb9425f6694.html) ","November 22, 2023",Done,,1) Write about a person who is a hero for you. Use First and Second Conditional.
"6. Choosing between First and Second Conditional (Part%203/6%20Choosing%20between%20First%20and%20Second%20Conditional%2075d18ceeb5a4462984c0385386426e30.html) ","December 1, 2023",Done,,"1) Online practice
https://test-english.com/grammar-points/b1/first-and-second-conditionals/
https://test-english.com/grammar-points/b1/first-and-second-conditionals/2/
https://test-english.com/grammar-points/b1/first-and-second-conditionals/3/"
"7. Houses (Part%203/7%20Houses%20760acd5289514fdab1a51e322e9208bc.html) ","December 6, 2023",Done,,"1) English File Workbook 7B (Part%203/7%20Houses/English%20File%20Workbook%207B%202da6239b737c461296aef308b0703125.html) 

2) Do the https://wordwall.net/resource/25166067/houses-crossword-ef-7b"
"7. Houses (Part%203/7%20Houses%20760acd5289514fdab1a51e322e9208bc.html) ","December 13, 2023",Done,,"1) https://quizlet.com/ru/568794606/homes-flash-cards/?x=1qqt

2) Describe your dream house using new words. Be ready to present your house to me next time!"
"7. Houses (Part%203/7%20Houses%20760acd5289514fdab1a51e322e9208bc.html) ","December 20, 2023",Done,,1) Watch https://en.islcollective.com/english-esl-video-lessons/listening-comprehension/deep-listening-focus-on-meaning/rooms-house/a-tiny-apartment-in-tokyo-8-m2/486572 about a tiny apartment in Tokyo and do the tasks
"8. Making suggestions (Part%203/8%20Making%20suggestions%20305c88ed2b0c4514862e744927609809.html) ","January 11, 2024",Done,,"1) Face2Face Workbook 6D (Part%203/8%20Making%20suggestions/Face2Face%20Workbook%206D%20b61e982a3013454881cc101a107c2aff.html) 

2) Learn and practice https://www.essentialenglish.review/apps/english-vocabulary-in-use-pre-intermediate-and-intermediate/unit-66-requests-permission-and-suggestions/#65 for making suggestions

3) You organise an event for your friends and family.
- decide in - what kind of an event it will be
- where it will take place
- what kind of activities you plan to organise and who you need to hire/invite"
"9. Revision (Part%203/9%20Revision%20ccf62f7c53dd4f6c9654fdb97819c484.html) ","January 18, 2024",Done,,"First Conditional and future time clauses
https://elt.oup.com/student/englishfile/intermediate3/grammar/file07/nef_int_grammar07_01a?cc=ru&selLanguage=ru
https://elt.oup.com/student/englishfile/intermediate3/grammar/file07/nef_int_grammar07_a02?cc=ru&selLanguage=ru

Second Conditional
https://elt.oup.com/student/englishfile/intermediate3/grammar/file07/nef_int_grammar07_b03?cc=ru&selLanguage=ru
https://elt.oup.com/student/englishfile/intermediate3/grammar/file07/nef_int_grammar07_b04?cc=ru&selLanguage=ru

Choosing between conditionals
https://elt.oup.com/student/englishfile/intermediate3/vocabulary/houses?cc=ru&selLanguage=ru
https://elt.oup.com/student/englishfile/intplus3/grammar/file04/nef_int_grammar04_b04?cc=ru&selLanguage=ru"
"9. Revision (Part%203/9%20Revision%20ccf62f7c53dd4f6c9654fdb97819c484.html) ","February 1, 2024",50/50,,"Vocabulary revision
https://elt.oup.com/student/englishfile/intermediate3/vocabulary/education?cc=ru&selLanguage=ru
https://elt.oup.com/student/englishfile/intermediate3/vocabulary/houses?cc=ru&selLanguage=ru"
,"February 8, 2024",Done,,"1) Do the https://docs.google.com/forms/d/e/1FAIpQLSfcTcTKRsi4Y36SqUscbsLA_nY-cA9xd6MC2ZCE3L3rUTWp0A/viewform?usp=sf_link. "
"1. Work (Part%204/1%20Work%20fe1a6b5c69b34c18974c3ee5153d8328.html) ","February 15, 2024",Done,,"1)  English File Workbook 8A VOCABULARY (Part%204/1%20Work/English%20File%20Workbook%208A%20VOCABULARY%206baabc56b52841a9b713ed1e7bee5091.html) 

2) Write a story about your professional way: use as many new words as you can and be ready to tell it to me next time.

3) (additional task) Listen to the podcast and do the tasks https://learnenglish.britishcouncil.org/skills/listening/b1-listening/work-life-balance"
"2. Gerund vs infinitive (Part%204/2%20Gerund%20vs%20infinitive%202277b26caa8948a4be0c91dbf58a0cb6.html) ","February 22, 2024 → February 29, 2024",Done,,"1) Gerund vs infinitive
https://test-english.com/grammar-points/b1/gerund-or-infinitive-do-to-do-doing/
https://test-english.com/grammar-points/b1/gerund-or-infinitive-do-to-do-doing/2/
https://test-english.com/grammar-points/b1/gerund-or-infinitive-do-to-do-doing/3/
https://test-english.com/grammar-points/b1/gerund-or-infinitive-do-to-do-doing/4/

2) English File Workbook 8A (Part%204/2%20Gerund%20vs%20infinitive/English%20File%20Workbook%208A%20c7f6902b585949f89722736d6ce894d9.html) "
"3. Shopping (Part%204/3%20Shopping%20b2b80e06b973438c89123695915b456f.html) ","March 7, 2024",Done,,1) Learn https://www.essentialenglish.review/apps/english-vocabulary-in-use-pre-intermediate-and-intermediate/unit-23-shopping/#22s for shopping
"3. Shopping (Part%204/3%20Shopping%20b2b80e06b973438c89123695915b456f.html) ","March 14, 2024",Done,,1) Create 5 questions about shopping for me. Use new words from the homework and from our last lessons
"4. Reported speech (Part%204/4%20Reported%20speech%200a9ce1dc2e834721b17a4be636ae7b49.html) ","April 3, 2024",Done,,"1) Revise reported speech
https://test-english.com/grammar-points/b1/reported-speech-indirect-speech/
https://test-english.com/grammar-points/b1/reported-speech-indirect-speech/2/
https://test-english.com/grammar-points/b1/reported-speech-indirect-speech/3/

2) Watch the video and do the quiz https://en.islcollective.com/video-lessons/reported-speech-the-grammar-gameshow"
"4. Reported speech (Part%204/4%20Reported%20speech%200a9ce1dc2e834721b17a4be636ae7b49.html) ","April 10, 2024",Done,,1) Collect 5-7 quotes from famous people/characters or your family members and be ready to report them to me using reported speech 😊
"5. Making nouns from verbs (Part%204/5%20Making%20nouns%20from%20verbs%208e1f334efa0d4cbe89cff9a733c269f7.html) ","April 17, 2024",Done,,"1)  English File Workbook 8B + Vocabulary in Use Unit 71 (Part%204/5%20Making%20nouns%20from%20verbs/English%20File%20Workbook%208B%20+%20Vocabulary%20in%20Use%20Unit%20%20b5109880a3ca45849ed892d79c4c6a1c.html) 

2) Play a https://wordwall.net/resource/17837368/making-nouns-from-verbs-right-or-wrong 🙂"
"6. Kindness (Part%204/6%20Kindness%20e6abdaa59ee4469bbbdf0e33f32b8e69.html) ","April 24, 2024",Done,,"1) Watch the video and answer the questions in Part%204/6%20Kindness%20e6abdaa59ee4469bbbdf0e33f32b8e69.html

2) Come up with your own ideas of random acts of kindness in Part%204/6%20Kindness%20e6abdaa59ee4469bbbdf0e33f32b8e69.html"
"6. News (Part%204/6%20News%20b1aaf56ecd9449d19584079b04532d7d.html) ","May 15, 2024",Done,,"1) Empower Workbook 8A (Part%204/6%20News/Empower%20Workbook%208A%20fe7f6dfc58724e9eba9aca8741dac75c.html) 

2) Prepare a piece of positive news and be ready to share it next time."
"7. Generalising, being vague (Part%204/7%20Generalising,%20being%20vague%20e4733d38ab6c49b5b9d64519de53f935.html) ","May 22, 2024",Done,,"1) Complete ex. 2, 3 and 4 from Part%204/7%20Generalising,%20being%20vague%20e4733d38ab6c49b5b9d64519de53f935.html
You can also find the video from the lesson in ex. 1"
"7. Generalising, being vague (Part%204/7%20Generalising,%20being%20vague%20e4733d38ab6c49b5b9d64519de53f935.html) ","May 29, 2024",Done,,"1) Face2Face Workbook 4D (Part%204/7%20Generalising,%20being%20vague/Face2Face%20Workbook%204D%20a164d6ccee2742bab5ab209b42f55e27.html) 

2) Think of 5 stereotypes about people. Write 5 sentences using phases to soften your opinion and generalising.

e.g. Some teenagers tend to be quite aggressive."
"8. Reporting verbs (Part%204/8%20Reporting%20verbs%203076d839d8194825b530a1bcd85741ad.html) ","June 5, 2024",Done,,"1) Explore reporting verbs and do the following exercises:
https://wordwall.net/resource/23747415/reporting-verbs-f2f-definition-matching
https://wordwall.net/resource/54155743/-reporting-verbs-verb-patterns-f2f-so"
"8. Reporting verbs (Part%204/8%20Reporting%20verbs%203076d839d8194825b530a1bcd85741ad.html) ","June 14, 2024",Done,,"1) Face2Face Workbook 11C + Vocabulary in Use Unit 88 (Part%204/8%20Reporting%20verbs/Face2Face%20Workbook%2011C%20+%20Vocabulary%20in%20Use%20Unit%2088%20993b2d719d934817aeb74a65c89f4f9a.html) "
"9. Revision (Part%204/9%20Revision%208ddd968c9be84a2692ff4f6f2803b5f1.html) ","July 10, 2024",Done,,"1) Navigate Workbook 5.1 (Part%204/9%20Revision/Navigate%20Workbook%205%201%20de407b62c30a42088bc8b14b60fdb697.html) 

2) Online practice (revision)
GRAMMAR
https://elt.oup.com/student/englishfile/intermediate3/grammar/file08/?cc=ru&selLanguage=ru

VOCABULARY
https://elt.oup.com/student/englishfile/intermediate3/vocabulary/word-building?cc=ru&selLanguage=ru
https://elt.oup.com/student/englishfile/intermediate3/vocabulary/work?cc=ru&selLanguage=ru"
"9. Revision (Part%204/9%20Revision%208ddd968c9be84a2692ff4f6f2803b5f1.html) ","July 16, 2024",Done,,"1) Complete the https://docs.google.com/forms/d/e/1FAIpQLScbZA2E0_hFGQWrcE4DhRyt0zy8fONC20iq1fUfCzO3CZ0f2A/viewform?usp=sf_link. Please, write me a message whe you finish."
"1. Third Conditional (Part%205/1%20Third%20Conditional%20d59fdb8edd434b2799906ce5dc2acc51.html) ","July 25, 2024",Done,,"1) Online practice (3rd Conditional)
https://test-english.com/grammar-points/b1/third-conditional-past-unreal-situations/
https://test-english.com/grammar-points/b1/third-conditional-past-unreal-situations/2/
https://test-english.com/grammar-points/b1/third-conditional-past-unreal-situations/3/

2) https://www.perfect-english-grammar.com/third-conditional-exercise-1.html

3) Watch https://en.islcollective.com/video-lessons/conditionals-video-lesson and do the tasks"
"1. Third Conditional (Part%205/1%20Third%20Conditional%20d59fdb8edd434b2799906ce5dc2acc51.html) ","July 31, 2024",Done,,"1) https://www.perfect-english-grammar.com/third-conditional-exercise-1.html

2) Write 8 sentences about your past using third conditional."
"2. Making adjectives and adverbs (Part%205/2%20Making%20adjectives%20and%20adverbs%206cb100bfc9fb484bb204427a230b8498.html) ","August 7, 2024",Done,,"1) Online practice (word building)
https://www.english-grammar.at/online_exercises/word-formation/wf074-word-formation-sentences.htm
https://www.english-grammar.at/online_exercises/word-formation/wf073-word-formation-sentences.htm
https://www.english-grammar.at/online_exercises/word-formation/wf067.htm
https://www.english-grammar.at/online_exercises/word-formation/wf045-sentences.htm
https://www.english-grammar.at/online_exercises/word-formation/wf044-sentences.htm

2) Practice word building a little bit more Homework (Part%205/2%20Making%20adjectives%20and%20adverbs/Homework%2060cc920ee5f74fd488178737e4b66e59.html) "
"3. Electronic devices (Part%205/3%20Electronic%20devices%202a5cddb3b9a94cc18a4e7c3ba28c5b66.html) ","August 28, 2024",Done,,1) Learn https://www.essentialenglish.review/apps/english-vocabulary-in-use-pre-intermediate-and-intermediate/unit-54-computers/#53about electronic devices
"4. Quantifiers (Part%205/4%20Quantifiers%20a0e297c1c4da451db7940ff80d7dc1a1.html) ","September 4, 2024",Done,,"1) Online practice (Quantifiers)
https://test-english.com/grammar-points/a2/much-many-little-few-some-any/
https://test-english.com/grammar-points/b1/much-many-lot-little-no/
https://test-english.com/grammar-points/b1/any-no-none/"
"4. Quantifiers (Part%205/4%20Quantifiers%20a0e297c1c4da451db7940ff80d7dc1a1.html) ","September 11, 2024",Done,,1) Write an essay about advantages and disadvantages of spartphones. Use vocabulary about electronic devices and quantifiers. Write at least 200 words. Send me your essay before our next lesson.
"6. Relative clauses (Part%205/6%20Relative%20clauses%2028715f2cd05f4cb5850f221ede18d6d5.html) ","September 25, 2024",Done,,"1) Relative clauses (online practice)
https://test-english.com/grammar-points/b1/defining-and-non-defining-relative-clauses/
https://test-english.com/grammar-points/b1/defining-and-non-defining-relative-clauses/2/
https://test-english.com/grammar-points/b1/defining-and-non-defining-relative-clauses/3/ 

2) Write 9 ""quiz"" questions using relative clauses with different words. These words shouldn't be too easy to guess. "
"6. Indirect questions (Part%205/6%20Indirect%20questions%2091f0f04361204b158145edeb0102ec2c.html) ","October 23, 2024",Done,,"1) Online practice (indirect questions)
https://www.perfect-english-grammar.com/indirect-questions-exercise-1.html
https://www.perfect-english-grammar.com/indirect-questions-exercise-2.html
https://www.perfect-english-grammar.com/indirect-questions-exercise-3.html

2) Practice more https://www.essentialenglish.review/apps/english-grammar-in-use-with-answers/unit-50-question-2-do-you-know-where-he-asked-me-where/#49

2) Make 9 indirect questions to a famous person using these phrases:

Would you mind telling me...
I'd like to know...
Could you tell me...
Can I ask you..."
"7. Question tags (Part%205/7%20Question%20tags%20b1291ea6eb1a4023a31bdd4679d44010.html) ","November 6, 2024",Done,,"1) Question tags
https://www.perfect-english-grammar.com/question-tags-exercise-1.html
https://test-english.com/grammar-points/b1/question-tags/
https://test-english.com/grammar-points/b1/question-tags/2/
https://test-english.com/grammar-points/b1/question-tags/3/"
"8. Revision (Part%205/8%20Revision%20c81fb98ef466480d95a79a9f948a7bfc.html) ","November 20, 2024",Done,,"1) Practice passive voice
https://www.englisch-hilfen.de/en/exercises/active_passive/passive_sentences1.htm
https://www.englisch-hilfen.de/en/exercises/active_passive/passive_sentences2.htm
https://www.englisch-hilfen.de/en/exercises/active_passive/sentences_simple_past.htm
https://www.englisch-hilfen.de/en/exercises/active_passive/sentences_mixed.htm
https://test-english.com/grammar-points/b1/active-passive-voice/"
